date,0056_close_y
8086,300.1013965744405
8085,300.8708827404484
8084,298.5652700922272
8083,294.2335177865616
8082,276.4713570487487
8079,254.95657444005303
8078,274.0123320158107
8077,240.00131752305703
8076,274.257760210804
8075,283.6621343873522
8072,302.4127009222666
8071,325.46197628458543
8070,342.73776021080414
8069,371.7316996047435
8068,379.7325428194998
8065,379.7325428194998
8064,398.03657444005324
8063,404.52700922266195
8062,397.4490645586303
8061,399.5071936758899
8057,394.2252964426882
8056,398.6245059288543
8055,410.4716732542825
8054,421.58044795783997
8051,422.4874835309624
8050,428.55862977602163
8049,429.4729380764169
8048,430.38819499341287
8047,425.51778656126544
8044,425.51778656126544
8043,425.21428194993484
8042,420.6743610013181
8041,418.2627667984197
8040,411.6656653491442
8037,405.712569169961
8036,408.3862450592891
8035,414.65802371541565
8034,403.93486166007966
8033,405.1195783926224
8030,393.93285902503334
8029,399.2128590250337
8019,392.7641633728595
8016,437.43667984189796
8015,436.5141501976291
8014,434.671936758894
8013,431.91573122529707
8012,432.2215546772074
8009,426.7328590250335
8008,422.1850329380771
8007,422.4874835309624
8006,416.45849802371595
8005,422.1850329380771
8002,430.38819499341287
8001,437.1290645586304
7998,430.6934914361007
7995,431.6100131752311
7994,428.55862977602163
7993,427.34102766798486
7992,426.4289328063246
7991,423.6983399209491
7988,423.09270092226683
7987,425.51778656126544
7986,422.1850329380771
7985,424.6075889328068
7984,422.7900395256923
7981,418.56384716732606
7980,412.5622661396581
7979,410.7700131752311
7978,407.79135704874886
7977,405.712569169961
7974,407.79135704874886
7973,405.4160210803695
7972,402.4563372859031
7971,398.03657444005324
7970,399.2128590250337
7967,391.3056653491442
7966,394.2252964426882
7965,402.4563372859031
7964,402.7518313570494
7963,403.3431357048754
7960,401.2754150197634
7959,401.8656653491443
7958,401.5704874835315
7957,404.2308827404485
7956,405.712569169961
7953,403.04743083004007
7952,398.03657444005324
7951,396.5685902503299
7950,395.39610013175286
7949,393.93285902503334
7946,386.94598155467764
7945,398.03657444005324
7944,395.6890645586304
7943,399.5071936758899
7942,402.4563372859031
7939,396.86197628458564
7938,390.7230039525697
7937,389.26819499341286
7936,391.3056653491442
7935,390.4318313570494
7932,392.7641633728595
7931,389.8498023715421
7930,391.3056653491442
7929,388.1062450592891
7928,432.5274835309624
7925,430.08300395256975
7924,426.1251119894604
7923,422.4874835309624
7922,416.7589459815553
7921,414.95783926218763
7916,417.059499341239
7915,409.87530961791896
7914,414.65802371541565
7911,414.05870882740516
7910,405.712569169961
7909,405.1195783926224
7908,406.60284584980315
7904,406.89981554677263
7903,398.03657444005324
7902,406.0092226613971
7901,407.49407114624563
7900,411.3670092226619
7897,405.1195783926224
7896,400.98044795783983
7895,400.6855862977607
7894,403.04743083004007
7893,401.5704874835315
7889,399.80163372859084
7888,399.2128590250337
7887,395.9821343873523
7886,393.93285902503334
7883,394.8104874835315
7882,396.5685902503299
7881,393.05617918313624
7880,388.1062450592891
7879,384.05270092226647
7876,385.2087483530967
7875,379.7325428194998
7874,372.58498023715447
7873,371.7316996047435
7872,371.44748353096236
7869,369.1775494071151
7868,373.15436100131797
7867,373.15436100131797
7866,374.0092226613971
7865,374.5796574440058
7862,373.4392094861666
7861,371.1633728590255
7860,367.4795256917001
7859,370.59546772068563
7858,365.7852964426882
7854,369.74440052700965
7853,360.1652700922271
7852,356.5348616600796
7851,359.0463241106725
7848,361.2859025032944
7847,368.32806324110726
