date,1101_Turnover,1101_Volume,1101_close,1101_eps,1101_high,1101_low,1101_open,1101_ups_and_downs,1101_ups_percent,2327_Turnover,2327_Volume,2327_close,2327_eps,2327_high,2327_low,2327_open,2327_ups_and_downs,2327_ups_percent,2352_Turnover,2352_Volume,2352_close,2352_eps,2352_high,2352_low,2352_open,2352_ups_and_downs,2352_ups_percent,2385_Turnover,2385_Volume,2385_close,2385_eps,2385_high,2385_low,2385_open,2385_ups_and_downs,2385_ups_percent,2449_Turnover,2449_Volume,2449_close,2449_eps,2449_high,2449_low,2449_open,2449_ups_and_downs,2449_ups_percent,2915_Turnover,2915_Volume,2915_close,2915_eps,2915_high,2915_low,2915_open,2915_ups_and_downs,2915_ups_percent,3005_Turnover,3005_Volume,3005_close,3005_eps,3005_high,3005_low,3005_open,3005_ups_and_downs,3005_ups_percent,3532_Turnover,3532_Volume,3532_close,3532_eps,3532_high,3532_low,3532_open,3532_ups_and_downs,3532_ups_percent,6176_Turnover,6176_Volume,6176_close,6176_eps,6176_high,6176_low,6176_open,6176_ups_and_downs,6176_ups_percent,9945_Turnover,9945_Volume,9945_close,9945_eps,9945_high,9945_low,9945_open,9945_ups_and_downs,9945_ups_percent,0056_close_y
6840,149152.0,3976.0,37.8,28.21,37.8,37.2,37.45,0.25,0.67,19466.0,312.0,62.3,8.65,63.4,62.1,63.4,-1.2,-1.89,210261.0,15465.0,13.6,12.48,13.7,13.45,13.5,0.15,1.12,41918.0,530.0,79.4,14.87,79.4,77.8,78.0,1.4,1.79,173227.0,6257.0,27.55,13.06,28.0,27.55,27.95,-0.45,-1.61,122329.0,2454.0,50.1,6.23,50.1,49.45,49.7,0.65,1.31,209185.0,5157.0,40.45,17.82,41.4,40.05,41.4,-0.95,-2.29,2566.0,80.0,32.05,26.71,32.3,32.0,32.1,-0.15,-0.47,936083.0,18052.0,51.7,6.98,52.5,51.3,51.6,2.4,4.87,68915.0,1904.0,36.45,6.57,36.55,36.05,36.35,0.1,0.28,286.914361001318
6843,267688.0,7114.0,37.85,28.25,37.95,36.9,37.45,0.05,0.13,23853.0,379.0,63.6,8.83,64.0,61.6,62.6,1.3,2.09,93764.0,7004.0,13.3,12.2,13.5,13.3,13.45,-0.3,-2.21,111877.0,1395.0,80.8,15.13,80.9,78.6,79.3,1.4,1.76,95445.0,3446.0,27.75,13.15,27.95,27.3,27.6,0.2,0.73,196402.0,3904.0,50.9,6.33,51.0,49.35,49.9,0.8,1.6,224757.0,5441.0,41.0,18.06,41.95,40.15,40.4,0.55,1.36,51810.0,1507.0,35.25,29.38,35.25,32.9,33.05,3.2,9.98,714879.0,13554.0,53.3,7.19,53.4,52.1,52.8,1.6,3.09,80779.0,2233.0,36.4,6.56,36.55,35.9,36.1,-0.05,-0.14,284.4110671936763
6844,134337.0,3585.0,37.35,27.87,37.7,37.2,37.25,-0.5,-1.32,14698.0,235.0,62.5,8.68,,62.3,63.5,-1.1,-1.73,73325.0,,13.45,12.34,13.55,13.3,13.35,0.15,1.13,64359.0,800.0,80.5,15.07,81.0,,81.0,-0.3,-0.37,111007.0,4018.0,27.55,13.06,27.75,27.5,27.5,-0.2,-0.72,158882.0,3154.0,50.1,6.23,50.8,50.1,50.7,-0.8,,131332.0,3210.0,41.45,,41.45,40.4,40.5,0.45,1.1,79689.0,2136.0,38.75,32.29,38.75,34.55,35.3,3.5,,523474.0,9847.0,53.0,7.15,53.7,52.7,53.6,-0.3,-0.56,90240.0,2508.0,35.85,6.46,36.25,35.85,36.25,-0.55,-1.51,274.0123320158107
6845,236772.0,6470.0,36.25,27.05,37.05,36.2,37.0,-1.1,-2.95,15924.0,255.0,61.9,8.6,63.0,61.8,63.0,-0.6,-0.96,89718.0,6790.0,13.05,11.97,13.4,13.0,13.35,-0.4,-2.97,58483.0,743.0,78.5,14.7,80.3,78.5,80.3,-2.0,-2.48,119440.0,4326.0,27.45,13.01,27.75,27.45,27.6,-0.1,-0.36,161404.0,3291.0,48.8,6.07,49.8,48.8,49.8,-1.3,-2.59,165950.0,4100.0,39.65,17.47,41.3,39.65,41.0,-1.8,-4.34,179191.0,4358.0,41.35,34.46,42.25,39.95,41.5,2.6,6.71,546098.0,10281.0,52.7,7.11,53.7,52.6,53.0,-0.3,-0.57,191575.0,5453.0,35.0,6.31,35.75,34.95,35.75,-0.85,-2.37,269.36922266139703
6846,160391.0,4460.0,35.9,26.79,36.15,35.85,35.9,-0.35,-0.97,16957.0,275.0,61.6,8.56,62.5,61.1,62.0,-0.3,-0.48,68494.0,5272.0,13.05,11.97,13.2,12.9,13.1,0.0,0.0,52720.0,671.0,78.5,14.7,79.2,78.1,78.2,0.0,0.0,221355.0,8053.0,27.55,13.06,27.7,27.35,27.35,0.1,0.36,82060.0,1692.0,48.45,6.03,48.95,48.15,48.6,-0.35,-0.72,157873.0,3953.0,39.7,17.49,40.4,39.5,39.55,0.05,0.13,63295.0,1575.0,39.7,33.08,41.35,39.05,40.1,-1.65,-3.99,417061.0,7848.0,53.2,7.18,53.5,52.7,53.2,0.5,0.95,108187.0,3115.0,34.65,6.24,35.0,34.6,35.0,-0.35,-1.0,268.63957839262224
6847,172649.0,4813.0,36.05,26.9,36.05,35.55,35.85,0.15,0.42,2479.0,40.0,62.1,8.63,62.5,61.6,61.6,0.5,0.81,778507.0,56090.0,13.95,12.8,14.1,13.45,13.65,0.9,6.9,126057.0,1645.0,76.3,14.29,77.8,76.1,77.6,-2.2,-2.8,158125.0,5778.0,27.3,12.94,27.55,27.3,27.45,-0.25,-0.91,77479.0,1601.0,48.5,6.03,48.8,48.1,48.4,0.05,0.1,247403.0,6368.0,38.7,17.05,40.2,38.0,40.2,-1.0,-2.52,108092.0,2611.0,43.0,35.83,43.4,39.0,39.0,3.3,8.31,642193.0,11887.0,54.1,7.3,54.6,53.3,53.7,0.9,1.69,51695.0,1486.0,34.9,6.29,34.95,34.65,34.65,0.25,0.72,273.7670092226617
6850,234224.0,6361.0,37.1,27.69,37.1,36.05,36.05,1.05,2.91,7562.0,121.0,62.3,8.65,62.5,62.1,62.1,0.2,0.32,430261.0,30357.0,14.1,12.94,14.3,14.05,14.15,0.15,1.08,115524.0,1496.0,77.2,14.46,77.8,76.4,76.5,0.9,1.18,242572.0,8871.0,27.25,12.91,27.5,27.2,27.5,-0.05,-0.18,56196.0,1157.0,48.45,6.03,48.8,48.3,48.6,-0.05,-0.1,174016.0,4400.0,39.9,17.58,40.1,38.8,39.2,1.2,3.1,112934.0,2836.0,39.5,32.92,42.55,38.7,42.4,-3.5,-8.14,482573.0,8851.0,54.4,7.34,55.1,54.1,54.9,0.3,0.55,38442.0,1094.0,35.15,6.33,35.3,35.0,35.1,0.25,0.72,276.9644268774707
6851,165526.0,4437.0,37.5,27.99,37.65,37.05,37.3,0.4,1.08,8000.0,129.0,62.0,8.61,62.5,61.9,62.5,-0.3,-0.48,167927.0,11987.0,14.1,12.94,14.2,13.85,14.1,0.0,0.0,49214.0,633.0,77.7,14.55,78.1,77.2,77.5,0.5,0.65,207771.0,7613.0,27.5,11.51,27.5,27.1,27.25,0.25,0.92,157233.0,3203.0,49.05,6.1,49.5,48.5,48.5,0.6,1.24,127704.0,3203.0,39.55,17.42,40.5,39.1,40.4,-0.35,-0.88,53813.0,1410.0,38.35,31.96,39.1,37.3,39.0,-1.15,-2.91,478783.0,8706.0,55.3,7.46,55.4,54.6,54.9,0.9,1.65,66534.0,1885.0,35.5,6.4,35.5,35.05,35.15,0.35,1.0,260.43657444005305
6852,271411.0,7409.0,36.3,27.09,37.95,36.05,37.8,-1.2,,19740.0,327.0,59.8,8.31,,,62.0,-2.2,,269473.0,19595.0,13.6,12.48,14.15,,14.15,-0.5,-3.55,109700.0,1441.0,76.3,14.29,78.7,75.0,78.5,-1.4,-1.8,427693.0,16142.0,26.25,10.98,27.35,25.35,27.15,-1.25,-4.55,200906.0,4195.0,47.6,5.92,49.5,47.3,49.2,-1.45,-2.96,253204.0,6695.0,36.8,16.21,39.85,36.65,39.4,-2.75,-6.95,63822.0,1778.0,,28.88,38.75,,38.75,-3.7,-9.65,707830.0,13060.0,53.3,7.19,55.9,53.0,55.7,,-3.62,169101.0,4884.0,34.35,6.19,35.7,34.2,35.7,-1.15,-3.24,273.5217918313574
6853,557915.0,14729.0,38.15,28.47,38.2,36.9,36.9,1.85,5.1,12480.0,205.0,61.0,8.47,61.4,59.8,59.8,1.2,2.01,659402.0,45616.0,14.65,13.44,14.8,14.1,14.1,1.05,7.72,53509.0,698.0,76.3,14.29,78.0,76.3,78.0,0.0,0.0,197145.0,7263.0,27.25,11.4,27.45,26.5,26.5,1.0,3.81,287363.0,5795.0,50.5,6.28,50.5,48.3,48.9,2.9,6.09,156280.0,4055.0,39.0,17.18,39.0,38.0,38.5,2.2,5.98,46593.0,1253.0,37.55,44.7,38.0,35.5,36.2,2.9,8.37,857209.0,15255.0,57.5,7.76,57.9,54.8,55.7,4.2,7.88,109889.0,3138.0,35.2,6.34,35.25,34.75,35.1,0.85,2.47,259.9578392621874
